time,RR,beat
0.676,676,Z
1.352,676,Q
2.484,1132,Q
3.588,1104,Q
4.712,1124,Q
5.836,1124,Q
6.972,1136,Q
8.116,1144,Q
9.236,1120,Q
10.344,1108,Q
11.436,1092,Q
12.528,1092,Q
13.64,1112,Q
14.744,1104,Q
15.836,1092,Q
16.94,1104,Q
18.024,1084,Q
19.144,1120,Q
20.22,1076,Q
21.304,1084,Q
22.328,1024,Q
23.348,1020,Q
24.464,1116,Q
25.564,1100,Q
26.684,1120,Q
27.792,1108,Q
28.9,1108,Q
29.992,1092,Q
31.084,1092,Q
32.14,1056,Q
33.24,1100,Q
34.296,1056,Q
35.356,1060,Q
36.416,1060,Q
37.5,1084,Q
38.588,1088,Q
39.688,1100,Q
40.78,1092,Q
41.908,1128,Q
43.028,1120,Q
44.152,1124,Q
45.268,1116,Q
46.336,1068,Q
47.436,1100,Q
48.528,1092,Q
49.616,1088,Q
50.704,1088,Q
51.796,1092,Q
52.924,1128,Q
54.012,1088,Q
55.128,1116,Q
56.192,1064,Q
57.292,1100,Q
58.384,1092,Q
59.488,1104,Q
60.6,1112,Q
61.7,1100,Q
62.788,1088,Q
63.884,1096,Q
64.976,1092,Q
66.072,1096,Q
67.164,1092,Q
68.24,1076,Q
69.364,1124,Q
70.48,1116,Q
71.572,1092,Q
72.668,1096,Q
73.76,1092,Q
74.852,1092,Q
75.96,1108,Q
77.06,1100,Q
78.136,1076,Q
79.208,1072,Q
80.272,1064,Q
81.356,1084,Q
82.392,1036,Q
83.432,1040,Q
84.496,1064,Q
85.544,1048,Q
86.628,1084,Q
87.688,1060,Q
88.768,1080,Q
89.82,1052,Q
90.908,1088,Q
92.004,1096,Q
93.124,1120,Q
94.236,1112,Q
95.328,1092,Q
96.44,1112,Q
97.54,1100,Q
98.624,1084,Q
99.676,1052,Q
100.728,1052,Q
101.776,1048,Q
102.836,1060,Q
103.86,1024,Q
104.952,1092,Q
106.048,1096,Q
107.172,1124,Q
108.272,1100,Q
109.4,1128,Q
110.548,1148,Q
111.684,1136,Q
112.824,1140,Q
113.96,1136,Q
115.124,1164,Q
116.28,1156,Q
117.436,1156,Q
118.548,1112,Q
119.664,1116,Q
120.808,1144,Q
121.948,1140,Q
123.076,1128,Q
124.176,1100,Q
125.276,1100,Q
126.332,1056,Q
127.42,1088,Q
128.532,1112,Q
129.636,1104,Q
130.716,1080,Q
131.816,1100,Q
132.92,1104,Q
134.028,1108,Q
135.124,1096,Q
136.204,1080,Q
137.296,1092,Q
138.388,1092,Q
139.44,1052,Q
140.512,1072,Q
141.636,1124,Q
142.728,1092,Q
143.82,1092,Q
144.872,1052,Q
145.928,1056,Q
146.94,1012,Q
147.924,984,Q
148.888,964,Q
149.832,944,Q
150.8,968,Q
151.792,992,Q
152.8,1008,Q
153.816,1016,Q
154.82,1004,Q
155.82,1000,Q
