time,RR,beat
0.676,676,Q
1.808,1132,Q
2.912,1104,Q
4.036,1124,Q
5.16,1124,Q
6.296,1136,Q
7.44,1144,Q
8.56,1120,Q
9.668,1108,Q
10.76,1092,Q
11.852,1092,Q
12.964,1112,Q
14.068,1104,Q
15.16,1092,Q
16.264,1104,Q
17.348,1084,Q
18.468,1120,Q
19.544,1076,Q
20.628,1084,Q
21.652,1024,Q
22.672,1020,Q
23.788,1116,Q
24.888,1100,Q
26.008,1120,Q
27.116,1108,Q
28.224,1108,Q
29.316,1092,Q
30.408,1092,Q
31.464,1056,Q
32.564,1100,Q
33.62,1056,Q
34.68,1060,Q
35.74,1060,Q
36.824,1084,Q
37.912,1088,Q
39.012,1100,Q
40.104,1092,Q
41.232,1128,Q
42.352,1120,Q
43.476,1124,Q
44.592,1116,Q
45.66,1068,Q
46.76,1100,Q
47.852,1092,Q
48.94,1088,Q
50.028,1088,Q
51.12,1092,Q
52.248,1128,Q
53.336,1088,Q
54.452,1116,Q
55.516,1064,Q
56.616,1100,Q
57.708,1092,Q
58.812,1104,Q
59.924,1112,Q
61.024,1100,Q
62.112,1088,Q
63.208,1096,Q
64.3,1092,Q
65.396,1096,Q
66.488,1092,Q
67.564,1076,Q
68.688,1124,Q
69.804,1116,Q
70.896,1092,Q
71.992,1096,Q
73.084,1092,Q
74.176,1092,Q
75.284,1108,Q
76.384,1100,Q
77.46,1076,Q
78.532,1072,Q
79.596,1064,Q
80.68,1084,Q
81.716,1036,Q
82.756,1040,Q
83.82,1064,Q
84.868,1048,Q
85.952,1084,Q
87.012,1060,Q
88.092,1080,Q
89.144,1052,Q
90.232,1088,Q
91.328,1096,Q
92.448,1120,Q
93.56,1112,Q
94.652,1092,Q
95.764,1112,Q
96.864,1100,Q
97.948,1084,Q
99.0,1052,Q
100.052,1052,Q
101.1,1048,Q
102.16,1060,Q
103.184,1024,Q
104.276,1092,Q
105.372,1096,Q
106.496,1124,Q
107.596,1100,Q
108.724,1128,Q
109.872,1148,Q
111.008,1136,Q
112.148,1140,Q
113.284,1136,Q
114.448,1164,Q
115.604,1156,Q
116.76,1156,Q
117.872,1112,Q
118.988,1116,Q
120.132,1144,Q
121.272,1140,Q
122.4,1128,Q
123.5,1100,Q
124.6,1100,Q
125.656,1056,Q
126.744,1088,Q
127.856,1112,Q
128.96,1104,Q
130.04,1080,Q
131.14,1100,Q
132.244,1104,Q
133.352,1108,Q
134.448,1096,Q
135.528,1080,Q
136.62,1092,Q
137.712,1092,Q
138.764,1052,Q
139.836,1072,Q
140.96,1124,Q
142.052,1092,Q
143.144,1092,Q
144.196,1052,Q
145.252,1056,Q
146.264,1012,Q
147.248,984,Q
148.212,964,Q
149.156,944,Q
150.124,968,Q
151.116,992,Q
152.124,1008,Q
153.14,1016,Q
154.144,1004,Q
155.144,1000,Q
156.128,984,Q
157.124,996,Q
158.108,984,Q
159.084,976,Q
160.036,952,Q
160.968,932,Q
161.92,952,Q
